sub,electrode,values
IR16,RAM5-RAM6,0
IR16,RAM6-RAM7,0
IR16,RHH4-RHH5,0
IR16,RHH5-RHH6,0
IR16,RHH6-RHH7,0
IR16,RTH1-RTH2,0
IR16,RTH2-RTH3,0
IR16,RTH5-RTH6,0
IR16,RTH6-RTH7,0
IR16,RTH7-RTH8,0
IR16,RTH8-RTH9,0
IR28,RAM1-RAM2,0
IR28,RAM2-RAM3,0
IR28,RAM3-RAM4,0
IR28,RAM4-RAM5,0
IR28,RAM5-RAM6,0
IR28,RAM6-RAM7,0
IR28,RHH3-RHH4,0
IR28,RHH4-RHH5,0
IR28,RHH5-RHH6,0
IR28,RHH6-RHH7,0
IR28,RTH3-RTH4,0
IR28,RTH4-RTH5,0
IR28,RTH5-RTH6,0
IR28,RTH6-RTH7,0
IR28,RTH7-RTH8,0
IR28,ROF1-ROF2,0
IR28,ROF2-ROF3,0
IR28,ROF3-ROF4,0
IR28,ROF4-ROF5,0
IR28,ROF5-ROF6,0
IR28,ROF6-ROF7,0
IR28,ROF7-ROF8,0
IR28,RCI1-RCI2,0
IR28,RCI2-RCI3,0
IR28,RCI3-RCI4,0
IR28,RCI4-RCI5,0
IR28,RCI5-RCI6,0
IR28,RCI6-RCI7,0
IR28,RCI7-RCI8,0
IR28,LAM1-LAM2,0
IR28,LAM2-LAM3,0
IR28,LAM3-LAM4,0
IR28,LAM4-LAM5,0
IR28,LAM5-LAM6,0
IR28,LAM6-LAM7,0
IR28,LAM7-LAM8,0
IR28,LHH3-LHH4,0
IR28,LHH4-LHH5,0
IR28,LHH5-LHH6,0
IR28,LHH6-LHH7,0
IR28,LHH7-LHH8,0
IR28,LHH8-LHH9,0
IR28,LTH1-LTH2,0
IR28,LTH2-LTH3,0
IR28,LTH3-LTH4,0
IR28,LTH4-LTH5,0
IR28,LTH5-LTH6,0
IR28,LTH6-LTH7,0
IR28,LTH7-LTH8,0
IR28,LTH8-LTH9,0
IR28,LOF1-LOF2,0
IR28,LOF2-LOF3,4
IR28,LOF3-LOF4,4
IR28,LOF4-LOF5,4
IR28,LOF5-LOF6,4
IR28,LOF6-LOF7,4
IR28,LOF7-LOF8,0
IR28,LOF8-LOF9,0
IR28,LCI1-LCI2,0
IR28,LCI2-LCI3,0
IR28,LCI3-LCI4,0
IR28,LCI4-LCI5,0
IR28,LCI5-LCI6,0
IR28,LCI6-LCI7,0
IR28,LCI7-LCI8,0
IR35,RAM1-RAM2,0
IR35,RAM2-RAM3,0
IR35,RAM3-RAM4,0
IR35,RAM4-RAM5,0
IR35,RAM5-RAM6,0
IR35,RAM6-RAM7,0
IR35,RAM7-RAM8,0
IR35,RHH4-RHH5,0
IR35,RHH5-RHH6,0
IR35,RHH6-RHH7,0
IR35,RHH7-RHH8,0
IR35,RHH8-RHH9,0
IR35,RTH1-RTH2,0
IR35,RTH4-RTH5,0
IR35,RTH5-RTH6,0
IR35,RTH6-RTH7,0
IR35,RTH7-RTH8,0
IR35,ROF1-ROF2,0
IR35,ROF2-ROF3,0
IR35,ROF3-ROF4,0
IR35,ROF4-ROF5,0
IR35,ROF5-ROF6,0
IR35,ROF6-ROF7,0
IR35,RIN1-RIN2,0
IR35,RIN2-RIN3,0
IR35,RIN3-RIN4,0
IR35,RIN4-RIN5,0
IR35,RIN5-RIN6,0
IR35,RIN6-RIN7,0
IR35,RIN7-RIN8,0
IR35,RIN8-RIN9,0
IR35,RIN9-RIN10,0
IR35,LAM1-LAM2,0
IR35,LAM2-LAM3,0
IR35,LAM3-LAM4,0
IR35,LAM4-LAM5,0
IR35,LAM5-LAM6,0
IR35,LAM6-LAM7,0
IR35,LAM7-LAM8,0
IR35,LHH5-LHH6,0
IR35,LHH6-LHH7,0
IR35,LHH7-LHH8,0
IR35,LTH1-LTH2,0
IR35,LTH5-LTH6,0
IR35,LTH6-LTH7,0
IR35,LTH7-LTH8,0
IR35,LTH8-LTH9,0
IR35,LOF1-LOF2,0
IR35,LOF2-LOF3,0
IR35,LOF3-LOF4,0
IR35,LOF4-LOF5,0
IR35,LOF5-LOF6,0
IR35,LOF6-LOF7,0
IR35,LOF7-LOF8,0
IR35,LOF8-LOF9,0
IR35,LOF9-LOF10,0
IR35,LIN1-LIN2,0
IR35,LIN2-LIN3,0
IR35,LIN3-LIN4,0
IR35,LIN4-LIN5,0
IR35,LIN5-LIN6,0
IR35,LIN6-LIN7,0
IR35,LIN7-LIN8,0
IR35,LIN8-LIN9,0
IR35,LIN9-LIN10,0
IR35,LAC1-LAC2,5
IR35,LAC2-LAC3,5
IR35,LAC3-LAC4,5
IR35,LAC4-LAC5,5
IR35,LAC5-LAC6,0
IR35,LAC6-LAC7,0
IR35,LAC7-LAC8,0
IR35,LAC8-LAC9,0
IR35,LAC9-LAC10,0
IR35,LAC10-LAC11,0
IR35,LPC1-LPC2,5
IR35,LPC2-LPC3,0
IR35,LPC3-LPC4,0
IR35,LPC4-LPC5,0
IR35,LPC5-LPC6,0
IR35,LPC6-LPC7,0
IR35,LPC7-LPC8,0
IR35,LPC8-LPC9,0
IR57,RSM1-RSM2,6
IR57,RSM2-RSM3,6
IR57,RSM3-RSM4,0
IR57,RSM4-RSM5,0
IR57,RSM5-RSM6,0
IR57,RSM6-RSM7,0
IR57,RSM7-RSM8,0
IR57,RAC1-RAC2,6
IR57,RAC2-RAC3,6
IR57,RAC3-RAC4,6
IR57,RAC4-RAC5,0
IR57,RAC5-RAC6,0
IR57,RAC6-RAC7,0
IR57,RAC7-RAC8,0
IR57,RAC8-RAC9,0
IR57,ROF1-ROF2,0
IR57,ROF2-ROF3,0
IR57,ROF3-ROF4,0
IR57,ROF4-ROF5,0
IR57,ROF5-ROF6,0
IR57,ROF6-ROF7,0
IR57,ROF7-ROF8,0
IR57,ROF8-ROF9,0
IR57,ROF9-ROF10,0
IR57,RIN1-RIN2,0
IR57,RIN2-RIN3,0
IR57,RIN3-RIN4,0
IR57,RIN4-RIN5,0
IR57,RIN5-RIN6,0
IR57,RIN6-RIN7,0
IR57,RIN7-RIN8,0
IR57,RIN8-RIN9,0
IR57,RIN9-RIN10,0
IR57,RTI1-RTI2,0
IR57,RTI2-RTI3,0
IR57,RTI3-RTI4,0
IR57,RTI4-RTI5,0
IR57,RTI5-RTI6,0
IR57,RTI6-RTI7,0
IR57,RTI7-RTI8,0
IR57,RTI8-RTI9,0
IR57,RTI9-RTI10,0
IR57,RAM3-RAM4,0
IR57,RAM4-RAM5,0
IR57,RAM5-RAM6,0
IR57,RAM6-RAM7,0
IR57,RAM7-RAM8,0
IR57,RAM8-RAM9,0
IR57,RHH7-RHH8,0
IR57,RHH8-RHH9,0
IR57,RHH9-RHH10,0
IR57,RTH4-RTH5,0
IR57,RTH5-RTH6,0
IR57,RTH6-RTH7,0
IR57,RTH7-RTH8,0
IR57,LSMA1-LSMA2,6
IR57,LSMA2-LSMA3,6
IR57,LSMA3-LSMA4,6
IR57,LSMA4-LSMA5,6
IR57,LSMA5-LSMA6,6
IR57,LSMA6-LSMA7,0
IR57,LSMA7-LSMA8,0
IR57,LSMA8-LSMA9,0
IR57,LSMA9-LSMA10,0
IR57,LAC1-LAC2,6
IR57,LAC2-LAC3,6
IR57,LAC3-LAC4,6
IR57,LAC4-LAC5,6
IR57,LAC5-LAC6,0
IR57,LAC6-LAC7,0
IR57,LAC7-LAC8,0
IR57,LAC8-LAC9,0
IR57,LAC9-LAC10,0
IR57,LOF2-LOF3,0
IR57,LOF3-LOF4,0
IR57,LOF4-LOF5,0
IR57,LOF5-LOF6,0
IR57,LOF6-LOF7,0
IR57,LOF7-LOF8,0
IR57,LOF8-LOF9,0
IR57,LIN1-LIN2,0
IR57,LIN2-LIN3,0
IR57,LIN3-LIN4,0
IR57,LIN4-LIN5,0
IR57,LIN5-LIN6,0
IR57,LIN6-LIN7,0
IR57,LIN7-LIN8,0
IR57,LIN8-LIN9,0
IR57,LIN9-LIN10,0
IR57,LTI1-LTI2,0
IR57,LTI2-LTI3,0
IR57,LTI3-LTI4,0
IR57,LTI4-LTI5,0
IR57,LTI5-LTI6,0
IR57,LTI6-LTI7,0
IR57,LTI7-LTI8,0
IR57,LTI8-LTI9,0
IR57,LTI9-LTI10,0
IR57,LAM4-LAM5,0
IR57,LAM5-LAM6,0
IR57,LAM8-LAM9,0
IR57,LHH4-LHH5,0
IR57,LHH5-LHH6,0
IR57,LHH6-LHH7,0
IR57,LHH7-LHH8,0
IR57,LHH8-LHH9,0
IR57,LHH9-LHH10,0
IR57,LTH4-LTH5,0
IR57,LTH5-LTH6,0
IR57,LTH6-LTH7,0
IR57,LTH7-LTH8,0
IR57,LTH8-LTH9,0
IR57,LTH9-LTH10,0
