"","x"
"150",0.1656409755
"151",0.06733874975
"152",0.0715243505
"153",0.103162489
"154",-0.1736574395
"155",0.1821102145
"156",0.0579304825
"157",0.58761853015
"158",-0.009746312
"159",-0.03632711375
"160",0.3039190452
"161",0.1262059045
"162",-0.10050486965
"163",-0.05484231075
"164",0.65559241675
"165",0.14029204
"166",-0.0352560735
"167",0.1262946212
"168",0.05829598985
"169",-0.056747673
"170",-0.00837864465
"171",0.1360867764
"172",0.3942410205
"173",0.151500049
"174",0.0922083925
"175",0.0734556955
"176",-0.0213450145
"177",0.0072335465
"178",-0.1353896206
"179",0.0578403995
"180",0.4488782165
"181",0.0720215545
"182",0.1863992775
"183",0.2964593472
"184",0.0798929655
"185",-0.0263347429
"186",0.183296124
"187",-0.090949383
"188",-0.0195823908
"189",0.1782989355
"190",-0.015248743
"191",0.0149775882
"192",-0.02308858975
"193",-0.0594474645
"194",-0.1693666225
"195",0.0795032781
"196",0.041437664
"197",0.1459425485
"198",0.2608720885
"199",-0.07025800005
"200",0.00448248975
"201",-0.0807964575
"202",0.02684926305
"203",0.0939273155
"204",0.06611683145
"205",0.186026683
"206",-0.0520972135
"207",-0.0071977895
"208",0.06074421695
"209",-0.0141106565
"210",0.168835702
"211",0.1108100955
"212",-0.063044503
"213",-0.11253164355
"214",-0.01250716385
"215",-0.09595004985
"216",-0.03053542605
"217",0.1565268882
"218",0.03471027
"219",0.19847205492
"220",-0.0688084671
"221",0.0486920115
"222",-0.177064097
"223",-0.085650777
"224",-0.1616846085
"225",0.09494723695
"226",0.0541097595
"227",-0.0290098465
"228",-0.076537831
"229",0.039980107575
"230",-0.0211479295
"231",-0.0759025252
"232",0.0107407291
"233",0.1544627785
"234",0.0217605883
"235",0.118889368
"236",0.0326375076
"237",-0.03078515895
"238",0.1540614155
"239",0.03932432535
"240",-0.092867183
"241",-0.03203514341
"242",0.0467590605
"243",0.1390774205
"244",0.1680033008
"245",0.0325551755
"246",-0.03871369565
"247",0.00956642265
"248",0.15216375215
"249",-0.082707705
"250",0.2212440915
"251",-0.0092463585
"252",0.17087823685
"253",0.08716617955
"254",-0.016710285
"255",-0.02574735845
"256",0.121522091
"257",0.049214752
"258",-0.0105347691
"259",0.0416798815
"260",0.040447381
"261",0.0464858225
"262",-0.003190602
"263",0.1854159325
"264",0.0077942097
"265",1.01938437
"266",0.246789168
"267",0.320617398
"268",-0.00363975925
"269",0.0418157242
"270",-0.11586034036
"271",-0.24365711285
"272",-0.097096043
"273",0.0764693235
"274",0.0383016317
"275",0.323351674
"276",0.20050220725
"277",-0.0485183565
"278",-0.0022119993
"279",0.230321696
"280",0.132210064
"281",0.0461105005
"282",0.0243806034
"283",-0.003415968
"284",0.0625397215
"285",-0.00249361705
"286",0.1436639023378
"287",0.06820071175
"288",-0.1332286085
"289",0.056342963
"290",-0.15793805
"291",-0.08140121945
"292",0.268138759215
"293",0.122105245
"294",0.07061671775
"295",0.143516697
"296",0.211647941
"297",0.01370037
"298",0.0452711561
"299",0.1186947972
"300",0.073459595
"301",-0.13594955945
"302",-0.00754602881
"303",0.06340523175
