"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","anova_p","diff_adj_r2","perct_adj_r2","correction"
"418",22,"RIN2-RIN3","post_9",2.44966221038111e-10,4.10081414775606e-07,5.5362365968175e-08,0.999812471635627,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"419",23,"RIN2-RIN3","post_10",8.93902291024386e-05,0.000252341505889899,0.0202039978171448,0.887095449651783,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"420",24,"RIN2-RIN3","post_11",0.00157687548829205,0.00105397365079913,0.35693670509514,0.550810576419247,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"421",25,"RIN2-RIN3","post_12",6.33025066981412e-05,0.000200528227545025,0.0143072721999742,0.904895972867427,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"422",26,"RIN2-RIN3","post_13",6.38107383107179e-05,0.000202438752042808,0.0144221471460797,0.904516767510216,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"423",27,"RIN2-RIN3","post_14",0.0025695666164933,0.00146999875575661,0.582218103529835,0.446239932322567,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"424",28,"RIN2-RIN3","post_15",4.49924289478587e-07,1.81038565394303e-05,0.000101682935171783,0.991963327086149,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"425",29,"RIN2-RIN3","post_16",0.00554255047546376,0.00189385156323642,1.25959779179461,0.262918175602601,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"426",30,"RIN2-RIN3","post_17",0.00675719502804737,0.00219272401344873,1.53751536753577,0.216273916158906,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"427",31,"RIN2-RIN3","post_18",0.000330831296695247,0.000491168466343274,0.0747926167915222,0.784732192112105,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"428",32,"RIN2-RIN3","post_19",0.000529788009298812,0.000644642105896068,0.119795556350853,0.729578328126099,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"429",33,"RIN2-RIN3","post_20",0.000407019361341703,0.000553395929887978,0.0920238311442054,0.761898938509055,2.16863379239867,0.9924,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"430",1,"RIN3-RIN4","pre_13",0.003580044420728,0.00146782806498439,0.811997024501742,0.368489750842586,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"431",2,"RIN3-RIN4","pre_12",0.000609986351526901,0.000575044881654616,0.137941057607535,0.710684468500157,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"432",3,"RIN3-RIN4","pre_11",0.00128121731691114,0.000815433670025029,0.289926572567323,0.590797513301236,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"433",4,"RIN3-RIN4","pre_10",6.78829392173796e-05,0.000191996834765106,0.0153425857629446,0.901532106011928,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"434",5,"RIN3-RIN4","pre_9",0.000300423737484892,0.000440855071483421,0.0679161683007021,0.794632652110338,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"435",6,"RIN3-RIN4","pre_8",0.000697760303515479,0.00064520571002053,0.157803937918116,0.691561385989607,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"436",7,"RIN3-RIN4","pre_7",0.000102601736926558,0.000249234092422206,0.0231903719178408,0.879098922582871,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"437",8,"RIN3-RIN4","pre_6",0.00573905074879244,0.0018813775588529,1.30451213054672,0.254599292560115,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"438",9,"RIN3-RIN4","pre_5",0.00838268755803088,0.00242590648006736,1.91050253393579,0.168271965591848,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"439",10,"RIN3-RIN4","pre_4",0.00438327518393347,0.00174430628511492,0.994981469151168,0.319594693480628,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"440",11,"RIN3-RIN4","pre_3",2.52238034914693e-05,0.000129477295091703,0.00570072338299843,0.939881195430517,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"441",12,"RIN3-RIN4","pre_2",0.00389952626417091,0.00158007719825873,0.884743014324024,0.347910162526144,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"442",13,"RIN3-RIN4","pre_1",6.24636913380198e-05,0.000196120335438419,0.0141176760845538,0.905525228229348,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"443",14,"RIN3-RIN4","post_1",0.000265120758201544,0.000414327941138343,0.0599331808839062,0.806823717013171,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"444",15,"RIN3-RIN4","post_2",0.00838639799175564,0.00261644438509797,1.91135533266013,0.168177425262105,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"445",16,"RIN3-RIN4","post_3",0.0229827845462749,0.00424001483315227,5.3162925128663,0.0220335044759949,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"446",17,"RIN3-RIN4","post_4",0.00434719110113434,0.00171416885067134,0.986754800544289,0.321599182301573,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"447",18,"RIN3-RIN4","post_5",0.000951057162413336,0.000813629636466226,0.215143532502948,0.643211915438642,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"448",19,"RIN3-RIN4","post_6",0.000364754896905802,0.000474804047475208,0.0824646860987877,0.774247840007659,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"449",20,"RIN3-RIN4","post_7",5.80975510186679e-05,0.000192458031834306,0.0131308093980879,0.908872048454441,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"450",21,"RIN3-RIN4","post_8",0.000281429914804532,0.000441580081055046,0.0636210656169005,0.801090856857069,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"451",22,"RIN3-RIN4","post_9",0.000724020676672273,0.000678511058476383,0.1637472293077,0.686112429370751,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"452",23,"RIN3-RIN4","post_10",0.000136080816949165,0.000272989041273148,0.0307584502655516,0.860937400351218,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"453",24,"RIN3-RIN4","post_11",0.000206357392119894,0.000350685087339485,0.0466463964478189,0.829199882553222,5.3162925128663,0.4103,"ineq_disadvent","Insula",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
